epoch,loss,IOU_loss,l1_loss,obj_loss,cls_loss,bbox_mAP_0.5,bbox_mAP_0.50_0.95
0,14.207026481628418,2.0229168,1.1776079,6.7753572,4.231145,0.08279048142909529,0.04536356016554036
1,15.98605728149414,1.9620173,1.0862395,8.821504,4.1162972,0.11433118347668499,0.06277700942573951
2,14.242104530334473,2.1342914,1.2836328,6.439513,4.3846674,0.0005712109672505713,0.00045696877380045696
3,12.216062545776367,1.5974075,1.0068758,5.022295,4.5894837,0.0,0.0
4,12.56003189086914,1.7082908,0.993437,5.4180756,4.440229,0.0,0.0
5,11.355958938598633,1.6991891,0.81375986,4.2941346,4.548876,0.0,0.0
